init_time  run_time   -Dx
1.60641    0.0250968  0
1.59199    0.0329489  3
1.58492    0.0440161  6
1.58589    0.0868128  9
1.5903     0.270811   12
1.59284    1.0379     15
1.61029    4.28067    18
1.61898    17.9412    21
1.65941    75.9095    24
1.69043    320.968    27
1.73813    1354.07    30
