init_time  run_time   -Dx
7.98228    0.0406374  0
7.79579    0.0421385  3
7.79781    0.0458671  6
7.78869    0.0547051  9
7.77396    0.0830566  12
7.76987    0.207932   15
7.77899    0.740846   18
7.76105    3.04455    21
7.72826    12.3885    24
7.73932    53.3247    27
7.7417     225.496    30
