init_time  run_time   -Dx
7.94749    0.0391645  0
7.9395     0.0432963  3
7.9634     0.0474353  6
7.99725    0.0551624  9
7.98835    0.0905429  12
7.99294    0.243296   15
7.95507    0.877778   18
7.9664     3.53066    21
7.87555    14.7542    24
7.81855    62.0214    27
7.83311    262.234    30
