init_time  run_time  -Dn  -Ds
2.22358    0.974347  100  0
2.21161    52.5848   100  50
2.22419    104.743   100  100
2.23833    156.919   100  150
2.22116    209.134   100  200
2.22364    261.464   100  250
2.2216     315.048   100  300
2.22411    369.163   100  350
2.22946    422.32    100  400
2.22904    475.181   100  450
2.23424    528.43    100  500
