init_time  run_time  -Dx
13.7787    0.350309  5
13.8386    0.756747  10
13.7776    1.58556   15
13.7285    2.96433   20
13.7275    5.01221   25
13.8836    7.90401   30
13.7351    11.6071   35
13.7181    16.4504   40
13.735     22.4514   45
13.7361    29.7172   50
